Subject,Start Date,Start Time,End Time,Description,Location
Mathematical Analysis I_LEC,10/26/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I,10/26/2022,11:00 AM,01:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Linear Algebra_LEC,10/26/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ D1.02
Mathematical Analysis I_LEC,10/27/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Fundamentals of Programming I_LAB,10/28/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LAB,10/28/2022,10:00 AM,01:00 PM,EXERCISE | GIOVANNI MODANESE,BZ E5.20
Mathematical Analysis I_LEC,10/28/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I,11/02/2022,11:00 AM,01:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E3.11
Linear Algebra_LEC,11/02/2022,02:00 PM,04:00 PM,LECTURE | GIOVANNI MODANESE,BZ D1.02
Physics I_LAB,11/03/2022,10:00 AM,12:00 AM,EXERCISE | GIUSEPPE CANTARELLA,BZ D1.02
Fundamentals of Programming I_LAB,11/04/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LEC,11/04/2022,10:00 AM,12:00 AM,LECTURE | GIOVANNI MODANESE,BZ D1.02
Fundamentals of Programming I_LEC,11/07/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,11/08/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,11/08/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,11/08/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,11/09/2022,08:00 AM,11:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,11/09/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ D1.02
Mathematical Analysis I_LEC,11/10/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Fundamentals of Programming I_LAB,11/11/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LAB,11/11/2022,10:00 AM,12:00 AM,EXERCISE | GIOVANNI MODANESE,BZ E5.20
Mathematical Analysis I_LEC,11/11/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ C4.01
Fundamentals of Programming I_LEC,11/14/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Physics I_LAB,11/14/2022,04:00 PM,06:00 PM,EXERCISE | GIUSEPPE CANTARELLA,BZ C0.02
Mathematical Analysis I_LEC,11/15/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,11/15/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,11/15/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,11/16/2022,08:00 AM,11:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I,11/16/2022,11:00 AM,01:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Linear Algebra_LAB,11/16/2022,02:00 PM,04:00 PM,EXERCISE | LAURA LEVAGGI,BZ E5.20
Mathematical Analysis I_LEC,11/17/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Physics I,11/17/2022,10:00 AM,12:00 AM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Fundamentals of Programming I_LAB,11/18/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LEC,11/18/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ D1.02
Mathematical Analysis I_LEC,11/18/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ C4.01
Fundamentals of Programming I_LEC,11/21/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Physics I,11/21/2022,04:00 PM,06:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,11/22/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,11/22/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,11/22/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,11/23/2022,08:00 AM,11:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I_LAB,11/23/2022,11:00 AM,01:00 PM,EXERCISE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,11/24/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Physics I,11/24/2022,10:00 AM,12:00 AM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Fundamentals of Programming I_LAB,11/25/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LAB,11/25/2022,10:00 AM,01:00 PM,EXERCISE | GIOVANNI MODANESE,BZ E5.20
Mathematical Analysis I_LEC,11/25/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ C4.01
Fundamentals of Programming I_LEC,11/28/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Physics I,11/28/2022,04:00 PM,06:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,11/29/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,11/29/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,11/29/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,11/30/2022,08:00 AM,11:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I_LAB,11/30/2022,11:00 AM,01:00 PM,EXERCISE | GIUSEPPE CANTARELLA,BZ E5.20
Linear Algebra_LEC,11/30/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ D1.02
Mathematical Analysis I_LEC,12/01/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Physics I,12/01/2022,10:00 AM,12:00 AM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Fundamentals of Programming I_LAB,12/02/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LEC,12/02/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ D1.02
Mathematical Analysis I_LEC,12/02/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ C4.01
Fundamentals of Programming I_LEC,12/05/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Physics I,12/05/2022,04:00 PM,06:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,12/06/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,12/06/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,12/06/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,12/07/2022,08:00 AM,11:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I_LAB,12/07/2022,11:00 AM,01:00 PM,EXERCISE | GIUSEPPE CANTARELLA,BZ E5.20
Linear Algebra_LEC,12/07/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ D1.02
Fundamentals of Programming I_LAB,12/09/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LAB,12/09/2022,10:00 AM,12:00 AM,EXERCISE | GIOVANNI MODANESE,BZ E5.20
Fundamentals of Programming I_LEC,12/12/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Physics I,12/12/2022,04:00 PM,06:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,12/13/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,12/13/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,12/13/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,12/14/2022,08:00 AM,11:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I,12/14/2022,11:00 AM,01:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,12/15/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Physics I_LAB,12/15/2022,10:00 AM,12:00 AM,EXERCISE | GIUSEPPE CANTARELLA,BZ E5.20
Fundamentals of Programming I_LAB,12/16/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LAB,12/16/2022,10:00 AM,01:00 PM,EXERCISE | LAURA LEVAGGI,BZ E5.20
Fundamentals of Programming I_LEC,12/19/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,12/20/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,12/20/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,12/20/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,12/21/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Mathematical Analysis I_LEC,12/22/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Fundamentals of Programming I_LAB,12/23/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LAB,12/23/2022,10:00 AM,01:00 PM,EXERCISE | GIOVANNI MODANESE,BZ E5.20
