Subject,Start Date,Start Time,End Time,Description,Location
Linear Algebra,12/16/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ E2.22
Introduction to Programming/Computer Programming,12/16/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Linear Algebra - Lab A,12/16/2022,02:00 PM,04:00 PM,LABORATORY | BRUNO CARPENTIERI,BZ RAINERUM SALA AZZURRA
Discrete Mathematics,12/19/2022,02:00 PM,04:00 PM,LECTURE | OLIVER KUTZ,BZ C3.06
Discrete Mathematics Lab A,12/19/2022,04:00 PM,06:00 PM,LABORATORY | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture,12/20/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Introduction to Programming/Computer Programming,12/20/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C3.06
Intro to Programming/Computer Programming LAB A,12/20/2022,02:00 PM,04:00 PM,LABORATORY | DAVID MASSIMO,BZ C2.02
Intro to Programming/Computer Programming LAB B,12/20/2022,02:00 PM,04:00 PM,LABORATORY | MARINA ANDRIC,BZ C3.06
English for Computer Scientists 1 - Group A,12/20/2022,04:00 PM,06:00 PM,LECTURE | JEMMA F. PRIOR,BZ C3.06
English for Computer Scientists 1 - Group B,12/20/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ C2.02
Computer Systems Architecture,12/21/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Discrete Mathematics,12/21/2022,10:00 AM,12:00 AM,LECTURE | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture Lab A,12/21/2022,02:00 PM,04:00 PM,LABORATORY | NICOLA GIGANTE,BZ RAINERUM SALA AZZURRA
Linear Algebra,12/22/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ E2.22
Introduction to Programming/Computer Programming,12/22/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Linear Algebra,12/23/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ RAINERUM SALA AZZURRA
Introduction to Programming/Computer Programming,12/23/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Linear Algebra - Lab A,12/23/2022,02:00 PM,04:00 PM,LABORATORY | BRUNO CARPENTIERI,BZ RAINERUM SALA AZZURRA
