Subject,Start Date,Start Time,End Time,Description,Location
WELCOME DAY Master,09/26/2022,03:00 PM,04:00 PM,EVENT,BK A2.08
Elementi di base della fisica per la sua didattica (lez.) - 3. SFP,09/26/2022,03:15 PM,05:15 PM,LECTURE | FEDERICO CORNI,BX A2.51
Sustainable Development - Mensa Gr. A,09/26/2022,03:30 PM,05:30 PM,LECTURE | CLAUS JOHANN TULLY,BX A1.21
Freshers Days - Presentation of the Student Associations,09/26/2022,04:00 PM,05:00 PM,PRESENTATION,BZ D0.01
27350_Diritto Fallimentare,09/26/2022,04:00 PM,06:00 PM,OFFICE HOUR | FEDERICA DE GOTTARDO,TEAMS
Presentation Student Associations,09/26/2022,04:00 PM,06:00 PM,EVENT,BZ D0.01
Einsicht in die Sprache und Rechtschreibung - 4. Jahr,09/26/2022,04:00 PM,06:00 PM,LECTURE | SVEN NICKEL,BX A1.51
TSE OPT Preparatory course Mathematics for Economists,09/26/2022,04:00 PM,06:00 PM,LECTURE | ANDREAS HEINRICH HAMEL,BK A-1.02
42108 - Produktionssysteme und Industrielogistik,09/26/2022,06:00 PM,06:30 PM,OFFICE HOUR | DOMINIK MATT,
42160 - Logistik und Transportwesen,09/26/2022,06:00 PM,08:00 PM,OFFICE HOUR | VITTORIO FRANZELLIN,
